postal.code,district,city,total.pop,females,males,pop.0-2,pop.3-6,pop.7-12,pop.13-15,pop.16-17,pop.18-19,pop.20-24,pop.25-29,pop.30-34,pop.35-39,pop.40-44,pop.45-49,pop.50-54,pop.55-59,pop.60-64,pop.65-69,pop.70-74,pop.75-79,pop.80-84,pop.85.plus,median.income
00860,Santahamina,Helsinki ,409,187,222,25,42,48,7,4,4,32,40,47,58,33,27,24,12,4,2,0,0,0,0,28097
00870,Etelä-Laajasalo,Helsinki ,5830,3120,2710,243,288,378,173,104,146,460,490,438,367,343,379,418,306,333,293,240,174,121,136,20773
00880,Roihupellon teollisuusalue,Helsinki ,727,386,341,29,26,16,11,7,8,66,92,76,52,48,29,47,32,49,45,31,30,20,13,21693
00890,Itäsalmi,Helsinki ,2044,1031,1013,29,93,199,141,115,112,99,46,45,92,139,250,276,122,82,75,67,33,19,10,29569
00900,Puotinharju,Helsinki ,4219,2221,1998,140,142,187,101,83,89,299,325,310,281,234,265,326,287,258,238,177,185,159,133,19452
00910,Puotila,Helsinki ,6145,3287,2858,185,232,301,160,105,106,462,535,436,451,386,383,396,369,339,332,234,242,201,290,20709
00920,Myllypuro,Helsinki ,12595,6539,6056,487,649,784,367,288,273,659,748,880,859,779,832,929,850,742,689,592,469,394,325,21353
00930,Itäkeskus-Marjaniemi,Helsinki ,6711,3551,3160,227,276,401,227,152,159,434,485,408,393,361,432,525,485,418,433,329,245,172,149,20408
00940,Kontula - Vesala,Helsinki ,26023,13582,12441,903,1138,1700,836,573,661,1844,1894,1812,1622,1505,1733,1871,1626,1489,1356,1127,998,748,587,19243
00950,Vartioharju,Helsinki ,5815,2976,2839,157,207,478,235,145,162,282,236,285,349,379,436,540,456,430,370,288,202,95,83,26005
00960,Pohjois-Vuosaari,Helsinki ,7281,3826,3455,229,287,451,222,168,159,385,441,462,470,489,529,637,511,430,471,353,278,174,135,22041
00970,Mellunmäki,Helsinki ,10672,5642,5030,326,417,589,311,260,233,663,800,703,639,608,697,854,760,729,695,526,412,277,173,20864
00980,Etelä-Vuosaari,Helsinki ,22616,12134,10482,794,1155,1632,816,565,554,1456,1549,1424,1394,1453,1519,1792,1467,1233,1150,958,771,504,430,20825
00990,Aurinkolahti,Helsinki ,8258,4415,3843,318,381,522,201,104,129,443,628,641,604,585,571,555,543,500,552,407,300,181,93,24876
01200,Hakunila,Vantaa ,12045,6163,5882,515,659,909,420,278,258,692,798,972,883,839,786,817,712,685,694,526,293,195,114,20523
01230,Vaarala,Vantaa ,2929,1432,1497,98,134,196,87,51,72,161,195,234,219,222,250,236,200,172,139,134,78,30,21,25214
01260,Itä-Hakkila,Vantaa ,4788,2372,2416,154,260,427,206,124,144,191,174,243,318,370,395,423,321,324,308,196,95,70,45,25752
01280,Länsimäki,Vantaa ,9694,4942,4752,382,448,647,310,212,212,485,605,781,727,651,656,761,682,684,625,410,241,108,67,22580
01300,Tikkurila,Vantaa ,18784,9711,9073,534,689,972,465,327,368,1365,1678,1564,1281,1097,1123,1329,1238,1157,1170,844,698,478,407,23097
01340,Leinelä,Vantaa ,795,420,375,31,36,26,7,11,25,147,125,71,49,37,34,34,41,35,36,23,21,4,2,21800
01350,Hiekkaharju,Vantaa ,9915,5116,4799,341,442,655,331,233,235,761,915,742,689,597,643,697,604,588,431,372,310,197,132,22717
01360,Koivukylä-Havukoski,Vantaa ,12635,6511,6124,459,572,707,306,243,305,1067,1080,966,967,752,802,827,802,742,771,516,355,224,172,20144
01370,Jokiniemi,Vantaa ,6565,3431,3134,276,310,387,169,147,130,889,822,623,514,371,361,459,341,287,204,116,87,48,24,21623
01380,Kuusikko-Hakkila,Vantaa ,1934,972,962,89,116,168,84,64,52,72,90,139,138,131,142,166,128,105,90,65,43,29,23,26499
01390,Ruskeasanta-Ilola,Vantaa ,8927,4481,4446,356,534,781,353,231,233,448,493,694,696,668,663,721,625,494,399,236,149,94,59,26031
01400,Rekola,Vantaa ,8321,4219,4102,276,427,688,378,237,205,395,413,493,544,547,645,654,532,477,486,373,237,143,171,23509
01420,Päiväkumpu,Vantaa ,3211,1572,1639,106,169,305,154,121,107,135,72,147,196,251,291,329,237,187,166,99,69,47,23,26126
01450,Korso,Vantaa ,18313,9185,9128,635,927,1404,626,444,423,1025,1175,1325,1377,1320,1326,1394,1237,1044,970,717,465,269,210,23093
01480,Mikkola,Vantaa ,6321,3165,3156,206,327,497,227,167,135,334,457,436,451,427,529,502,415,357,316,235,172,73,58,22725
01510,Kirkonkylä-Veromäki,Vantaa ,6350,3163,3187,338,445,481,189,94,99,405,659,757,655,510,389,361,262,229,199,124,86,46,22,24279
01520,Tammisto,Vantaa ,7847,4064,3783,432,542,814,312,138,148,427,696,827,901,772,583,398,252,197,201,124,53,23,7,27095
01530,Veromiehenkylä,Vantaa ,464,214,250,18,21,11,4,5,9,66,66,60,50,33,33,35,21,15,11,4,0,1,1,20679
01600,Myyrmäki,Vantaa ,16658,8841,7817,520,656,921,425,271,305,1215,1452,1308,1104,893,936,933,855,979,1115,1022,780,562,406,21822
01610,Kaivoksela,Vantaa ,5061,2517,2544,214,190,237,114,67,85,386,527,463,379,324,322,345,305,275,298,223,145,77,85,23021
01620,Martinlaakso,Vantaa ,11742,5945,5797,377,510,754,335,248,222,702,911,891,812,731,691,705,682,677,757,691,544,326,176,22402
01630,Hämeenkylä,Vantaa ,2105,1064,1041,73,126,173,87,59,41,69,103,163,150,153,149,143,149,158,149,95,41,18,6,27244
